art_id;type;year;title;pages_start;pages_end;booktitle;journal_series;journal_editor;journal_volume;journal_isbn;url
series/class/Morlini13;Article;2013;Simulation Experiments for Similarity Indexes Between Two Hierarchical Clusterings.;241;249;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#Morlini13
series/class/Sahmer13;Article;2013;A Model for the Clustering of Variables Taking into Account External Data.;81;88;Classification and Data Mining;;;;;db/series/class/class364228893.html#Sahmer13
series/class/VoeklerKB13;Article;2013;Product Design Optimization Using Ant Colony And Bee Algorithms: A Comparison.;491;498;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#VoeklerKB13
series/class/MazzaP13;Article;2013;Using the Variation Coefficient for Adaptive Discrete Beta Kernel Graduation.;225;232;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#MazzaP13
series/class/GuglielmiIPR13;Article;2013;Hospital Clustering in the Treatment of Acute Myocardial Infarction Patients Via a Bayesian Semiparametric Approach.;141;149;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#GuglielmiIPR13
series/class/TortoraSP13;Article;2013;Factor PD-Clustering.;115;123;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#TortoraSP13
series/class/CipolliniFGM13;Article;2013;A Continuous Time Mover-Stayer Model for Labor Market in a Northern Italian Area.;181;188;Classification and Data Mining;;;;;db/series/class/class364228893.html#CipolliniFGM13
series/class/AlexandrovichHR13;Article;2013;On the Number of Modes of Finite Mixtures of Elliptical Distributions.;49;57;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#AlexandrovichHR13
series/class/AgostinelliR13;Article;2013;Ordering Curves by Data Depth.;1;8;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#AgostinelliR13
series/class/OkadaY13;Article;2013;Cluster Analysis Based on Pre-specified Multiple Layer Structure.;105;113;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#OkadaY13
series/class/FoberKH13;Article;2013;Local Clique Merging: An Extension of the Maximum Common Subgraph Measure with Applications in Structural Bioinformatics.;279;286;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#FoberKH13
series/class/SalperwyckL13;Article;2013;A Two Layers Incremental Discretization Based on Order Statistics.;315;323;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#SalperwyckL13
series/class/LangovayaKC13;Article;2013;Correspondence Analysis in the Case of Outliers.;63;70;Classification and Data Mining;;;;;db/series/class/class364228893.html#LangovayaKC13
series/class/Rocca13;Article;2013;A Comparison of Objective Bayes Factors for Variable Selection in Linear Regression Models.;181;189;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#Rocca13
series/class/Bramante13;Article;2013;An Approach to Ranking the Hedge Fund Industry.;63;71;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#Bramante13
series/class/Schwarz13;Article;2013;Applying Location Planning Algorithms to Schools: The Case of Special Education in Hesse (Germany).;319;327;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#Schwarz13
series/class/NissiSPL13;Article;2013;The Application of M-Function Analysis to the Geographical Distribution of Earthquake Sequence.;271;278;Classification and Data Mining;;;;;db/series/class/class364228893.html#NissiSPL13
