art_id;author;pos
series/class/FoberKH13;Gerhard Klebe;1
series/class/FoberKH13;Eyke H?llermeier;2
series/class/SalperwyckL13;Christophe Salperwyck;0
series/class/SalperwyckL13;Vincent Lemaire;1
series/class/LangovayaKC13;Anna Langovaya;0
series/class/LangovayaKC13;Sonja Kuhnt;1
series/class/LangovayaKC13;Hamdi Chouikha;2
series/class/Rocca13;Luca La Rocca;0
series/class/Bramante13;Riccardo Bramante;0
series/class/Schwarz13;Alexandra Schwarz;0
series/class/NissiSPL13;Eugenia Nissi;0
series/class/NissiSPL13;Annalina Sarra;1
series/class/NissiSPL13;Sergio Palermi;2
series/class/NissiSPL13;Gaetano De Luca;3
series/class/LovaglioV13;Pietro Giorgio Lovaglio;0
series/class/LovaglioV13;Giorgio Vittadini;1
series/class/Dias13a;Jos? G. Dias;0
series/class/Stork0S13;Dominik Stork;0
series/class/Stork0S13;Kai Eckert 0001;1
series/class/Stork0S13;Heiner Stuckenschmidt;2
series/class/SchiffnerGHALW13;Julia Schiffner;0
series/class/SchiffnerGHALW13;Erhard Godehardt;1
series/class/SchiffnerGHALW13;Stefanie Hillebrand;2
series/class/SchiffnerGHALW13;Alexander Albert;3
series/class/SchiffnerGHALW13;Artur Lichtenberg;4
series/class/SchiffnerGHALW13;Claus Weihs;5
series/class/MatternVR13;Verena Mattern;0
series/class/MatternVR13;Igor Vatolkin;1
series/class/MatternVR13;G?nter Rudolph;2
series/class/AkkucukCF13;Ulas Akkucuk;0
series/class/AkkucukCF13;J. Douglas Carroll;1
series/class/AkkucukCF13;Stephen L. France;2
series/class/Villar-PatinoMC13;Carmen Villar-Pati?;0
series/class/Villar-PatinoMC13;Miguel Angel Mendez-Mendez;1
series/class/Villar-PatinoMC13;Carlos Cuevas-Covarrubias;2
series/class/RuschMH13;Thomas Rusch;0
series/class/RuschMH13;Marco J. Maier;1
series/class/RuschMH13;Reinhold Hatzinger;2
series/class/HofmarcherGHM13;Paul Hofmarcher;0
series/class/HofmarcherGHM13;Bettina Gr?;1
series/class/HofmarcherGHM13;Kurt Hornik;2
series/class/HofmarcherGHM13;Patrick Mair;3
series/class/Thai-NgheGS13;Nguyen Thai-Nghe;0
series/class/Thai-NgheGS13;Zeno Gantner;1
series/class/Thai-NgheGS13;Lars Schmidt-Thieme;2
series/class/DragoLS13;Carlo Drago;0
series/class/DragoLS13;Carlo Lauro;1
series/class/DragoLS13;Germana Scepi;2
series/class/Sulis13;Isabella Sulis;0
series/class/ChiodiADL13;M. Chiodi;0
series/class/ChiodiADL13;G. Adelfio;1
series/class/ChiodiADL13;A. D'Alessandro;2
series/class/ChiodiADL13;D. Luzio;3
series/class/BalzanellaV13;Antonio Balzanella;0
series/class/BalzanellaV13;Rosanna Verde;1
series/class/RotterVW13;G?nther R?tter;0
series/class/RotterVW13;Igor Vatolkin;1
series/class/RotterVW13;Claus Weihs;2
series/class/Sciascia13;Ivan Arcangelo Sciascia;0
series/class/BertacciniV13;Bruno Bertaccini;0
series/class/BertacciniV13;Roberta Varriale;1
series/class/IannarioP13;Maria Iannario;0
series/class/IannarioP13;Domenico Piccolo;1
series/class/RomanoM13;Elvira Romano;0
series/class/RomanoM13;Jorge Mateu;1
series/class/RossellTJ13;David Rossell;0
series/class/RossellTJ13;Donatello Telesca;1
series/class/RossellTJ13;Valen E. Johnson;2
series/class/Dias13;Jos? G. Dias;0
series/class/PorcuS13;Mariano Porcu;0
series/class/PorcuS13;Isabella Sulis;1
series/class/KobargA13;Jan Hendrik Kobarg;0
series/class/KobargA13;Theodore Alexandrov;1
series/class/DanielB13;Ines Daniel;0
series/class/DanielB13;Daniel Baier;1
series/class/TrendtelU13;Matthias Trendtel;0
series/class/TrendtelU13;Ali ?nl?;1
series/class/ThommesW13;Myriam Th?mmes;0
series/class/ThommesW13;Peter Winker;1
series/class/MucciardiB13;Massimo Mucciardi;0
series/class/MucciardiB13;Pietro Bertuccelli;1
series/class/DancelliMV13;Livia Dancelli;0
series/class/DancelliMV13;Marica Manisera;1
series/class/DancelliMV13;Marika Vezzoli;2
series/class/DragoS13;Carlo Drago;0
series/class/DragoS13;Germana Scepi;1
series/class/KaciakS13;Eugene Kaciak;0
series/class/KaciakS13;Adam Sagan;1
series/class/SteckingS13;Ralf Stecking;0
series/class/SteckingS13;Klaus B. Schebesch;1
series/class/BenassiBP13;Federico Benassi;0
series/class/BenassiBP13;Chiara Bocci;1
series/class/BenassiBP13;Alessandra Petrucci;2
series/class/GudichaV13;Dereje W. Gudicha;0
series/class/GudichaV13;Jeroen K. Vermunt;1
series/class/XavierXV13;Adilson Elias Xavier;0
series/class/XavierXV13;Vinicius Layter Xavier;1
series/class/XavierXV13;Sergio B. Villas-Boas;2
series/class/IrpinoGV13;Antonio Irpino;0
series/class/IrpinoGV13;Mario Rosario Guarracino;1
series/class/IrpinoGV13;Rosanna Verde;2
series/class/MakarenkovDN13;Vladimir Makarenkov;0
series/class/MakarenkovDN13;Plamen Dragiev;1
series/class/MakarenkovDN13;Robert Nadon;2
series/class/HeikkonenPRT13;Jukka Heikkonen;0
series/class/HeikkonenPRT13;Domenico Perrotta;1
series/class/HeikkonenPRT13;Marco Riani;2
series/class/HeikkonenPRT13;Francesca Torti;3
series/class/Schindler13;Diana Schindler;0
series/class/DeldossiP13;Laura Deldossi;0
series/class/DeldossiP13;Roberta Paroli;1
series/class/DomenachT13;Florent Domenach;0
series/class/DomenachT13;Ali Tayari;1
series/class/BoulesteixRB13;Anne-Laure Boulesteix;0
series/class/BoulesteixRB13;Adrian Richter;1
series/class/BoulesteixRB13;Christoph Bernau;2
series/class/SarraFBN13;Annalina Sarra;0
series/class/SarraFBN13;Lara Fontanella;1
series/class/SarraFBN13;Tonio Di Battista;2
series/class/SarraFBN13;Riccardo Di Nisio;3
series/class/EichhoffVW13;Markus Eichhoff;0
series/class/EichhoffVW13;Igor Vatolkin;1
series/class/EichhoffVW13;Claus Weihs;2
series/class/IrpinoV13;Antonio Irpino;0
series/class/IrpinoV13;Rosanna Verde;1
series/class/BozdoganHKL13;Hamparsum Bozdogan;0
series/class/BozdoganHKL13;J. Andrew Howe;1
series/class/BozdoganHKL13;Suman Katragadda;2
series/class/BozdoganHKL13;Caterina Liberati;3
series/class/GaulW13;Wolfgang Gaul;0
series/class/GaulW13;Christoph Winkler;1
series/class/HohensinnKR13;Christine Hohensinn;0
series/class/HohensinnKR13;Klaus D. Kubinger;1
series/class/HohensinnKR13;Manuel Reif;2
series/class/MazzaP13a;Angelo Mazza;0
series/class/MazzaP13a;Antonio Punzo;1
series/class/Cuevas-Covarrubias13;Carlos Cuevas-Covarrubias;0
series/class/PardoO13;Campo El?as Pardo;0
series/class/PardoO13;Jorge Eduardo Ortiz;1
series/class/DEnzaP13;Alfonso Iodice D'Enza;0
series/class/DEnzaP13;Francesco Palumbo;1
series/class/AttanasioBCP13;Massimo Attanasio;0
series/class/AttanasioBCP13;Giovanni Boscaino;1
series/class/AttanasioBCP13;Vincenza Capursi;2
series/class/AttanasioBCP13;Antonella Plaia;3
series/class/MuchaBM13;Hans-Joachim Mucha;0
series/class/MuchaBM13;Hans-Georg Bartel;1
series/class/MuchaBM13;Carlos Morales-Merino;2
series/class/SchmadeckeB13;Ingo Schm?decke;0
series/class/SchmadeckeB13;Holger Blume;1
series/class/Kuziak13;Katarzyna Kuziak;0
series/class/France13;Stephen L. France;0
series/class/NissiR13;Eugenia Nissi;0
series/class/NissiR13;Agnese Rapposelli;1
series/class/Silva13;Ricardo Bezerra de Andrade e Silva;0
series/class/OkadaT13;Akinori Okada;0
series/class/OkadaT13;Hiroyuki Tsurumi;1
series/class/BianchiB13;Annamaria Bianchi;0
series/class/BianchiB13;Silvia Biffignandi;1
series/class/Garcia-EscuderoGMM13;Luis Angel Garc?a-Escudero;0
series/class/Garcia-EscuderoGMM13;Alfonso Gordaliza;1
series/class/Garcia-EscuderoGMM13;Carlos Matr?;2
series/class/Garcia-EscuderoGMM13;Agust?n Mayo-Iscar;3
series/class/Chirico13;Paolo Chirico;0
series/class/WinklerKK13;Roland Winkler;0
series/class/WinklerKK13;Frank Klawonn;1
series/class/WinklerKK13;Rudolf Kruse;2
series/class/GaulV13;Wolfgang Gaul;0
series/class/GaulV13;Dominique Vincent;1
series/class/Salter-TownshendM13;Michael Salter-Townshend;0
series/class/Salter-TownshendM13;Thomas Brendan Murphy;1
series/class/Martini13;Cristiana Martini;0
series/class/MorliniZ13;Isabella Morlini;0
series/class/MorliniZ13;Sergio Zani;1
series/class/McParlandG13;Damien McParland;0
series/class/McParlandG13;Isobel Claire Gormley;1
series/class/ZardettoS13;Diego Zardetto;0
series/class/ZardettoS13;Monica Scannapieco;1
series/class/BesslerW13;Wolfgang Bessler;0
series/class/BesslerW13;Dominik Wolff;1
series/class/MuchaDB13;Hans-Joachim Mucha;0
series/class/MuchaDB13;Jens Dolata;1
series/class/MuchaDB13;Hans-Georg Bartel;2
series/class/Bove13;Giuseppe Bove;0
series/class/BalzanellaRV13;Antonio Balzanella;0
series/class/BalzanellaRV13;Lidia Rivoli;1
series/class/BalzanellaRV13;Rosanna Verde;2
series/class/Stefanini13;Federico M. Stefanini;0
series/class/FrostB13;Sarah Frost;0
series/class/FrostB13;Daniel Baier;1
series/class/Weber13;Marcus Weber;0
series/class/BocLM13;Alix Boc;0
series/class/BocLM13;Pierre Legendre;1
series/class/BocLM13;Vladimir Makarenkov;2
series/class/GertheissST13;Jan Gertheiss;0
series/class/GertheissST13;Veronika Stelz;1
series/class/GertheissST13;Gerhard Tutz;2
series/class/LiberatiM13a;Caterina Liberati;0
series/class/LiberatiM13a;Paolo Mariani;1
series/class/LiberatiM13;Caterina Liberati;0
series/class/LiberatiM13;Paolo Mariani;1
series/class/RomanoB13;Elvira Romano;0
series/class/RomanoB13;Antonio Balzanella;1
series/class/Rutkowska-Ziarko13;Anna Rutkowska-Ziarko;0
series/class/CamizG13;Sergio Camiz;0
series/class/CamizG13;Gast?o Coelho Gomes;1
series/star/FerreiraD14;Jo?o Filipe Ferreira;0
series/star/FerreiraD14;Jorge Dias;1
series/star/BecerraS14;H?ctor M. Becerra;0
series/star/BecerraS14;Carlos Sag?;1
series/star/MurataK12;Satoshi Murata;0
series/star/MurataK12;Haruhisa Kurokawa;1
series/star/Grebenstein14;Markus Grebenstein;0
series/star/CiveraDM12;Javier Civera;0
series/star/CiveraDM12;Andrew J. Davison;1
series/star/CiveraDM12;Jos? Mar?a Mart?nez Montiel;2
series/star/Mermoud14;Gr?gory Mermoud;0
series/star/ElibolGG13;Armagan Elibol;0
series/star/ElibolGG13;Nuno Gracias;1
series/star/ElibolGG13;Rafael Garc?;2
series/star/LamX12;Tin Lun Lam;0
series/star/LamX12;Yangsheng Xu;1
series/star/Rusu13;Radu Bogdan Rusu;0
series/star/PratsPS13;Mario Prats;0
series/star/PratsPS13;Angel P. Del Pobil;1
series/star/PratsPS13;Pedro J. Sanz;2
series/star/FukudaHSA12;Toshio Fukuda;0
series/star/FukudaHSA12;Yasuhisa Hasegawa;1
series/star/FukudaHSA12;Kosuke Sekiyama;2
series/star/FukudaHSA12;Tadayoshi Aoyama;3
series/star/Haddadin14;Sami Haddadin;0
series/star/MaraniY14;Giacomo Marani;0
series/star/MaraniY14;Junku Yuh;1
series/star/Corke11;Peter Corke;0
series/star/HoH14;Anh-Van Ho;0
series/star/HoH14;Shinichi Hirai;1
series/star/KoberP14;Jens Kober;0
series/star/KoberP14;Jan Peters;1
series/star/Antonelli14;Gianluca Antonelli;0
series/star/Sturm13;J?rgen Sturm;0
series/star/NicoseviciG13;Tudor Nicosevici;0
series/star/NicoseviciG13;Rafael Garc?;1
series/star/KajitaHHY14;Shuuji Kajita;0
series/star/KajitaHHY14;Hirohisa Hirukawa;1
series/star/KajitaHHY14;Kensuke Harada;2
series/star/KajitaHHY14;Kazuhito Yokoi;3
series/tmsc/KauersP11;Manuel Kauers;0
series/tmsc/KauersP11;Peter Paule;1
